ScoreType,Runs,isWicket,WicketType,EffectedBy,OutBatsman,isExtra,ExtraType,ExtraSubType,ExtraRuns,NextBowler,NextBatsman,FacingBatsman,POMTeam,POM
BATSMAN,,,,,,,,,,,Team1Player1,,,
BATSMAN,,,,,,,,,,,Team1Player2,,,
FACING,,,,,,,,,,,,Team1Player1,,
BOWLER,I,,,,,,,,,Team2Player6,,,,
BALL,4,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BOWLER,II,,,,,,,,,Team2Player10,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BOWLER,III,,,,,,,,,,,,,
BALL,6,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,TRUE,LEG_BYE,,1,,,,,
BALL,0,,,,,TRUE,WIDE,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BOWLER,IV,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,6,,,,,,,,,,,,,
BALL,6,,,,,,,,,,,,,
BOWLER,V,,,,,,,,,Team2Player8,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,,,,,,TRUE,LEG_BYE,,1,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
NEXT_INNINGS,,,,,,,,,,,,,,
BATSMAN,,,,,,,,,,,Team2Player1,,,
BATSMAN,,,,,,,,,,,Team2Player2,,,
FACING,,,,,,,,,,,,Team2Player1,,
BOWLER,I,,,,,,,,,Team1Player9,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BOWLER,II,,,,,,,,,Team1Player10,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,TRUE,LEG_BYE,,1,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BOWLER,III,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,,,,,,TRUE,WIDE,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,6,,,,,,,,,,,,,
BOWLER,IV,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,4,,,,,TRUE,NO_BALL,,,,,,,
BALL,3,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BOWLER,V,,,,,,,,,Team1Player11,,,,
BALL,4,,,,,,,,,,,,,
BALL,,,,,,TRUE,WIDE,,1,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
PLAYER_OF_MATCH,,,,,,,,,,,,,Team1SName,Team1Player1
COMPLETE_MATCH,,,,,,,,,,,,,,
